METHOD  |                 ROUTE                 |     AUTH     |      Q-S      |  BODY-INFO
________________________________________________________________________________________________________________
POST   | auth/register                          |       -      |       -       | name, email, phone, password
POST   | auth/login                             |       -      |       -       | email, password
POST   | auth/logout                            |   Customer   |       -       |    -
POST   | auth/refresh                           |   Customer   |       -       | refreshToken
GET    | auth/my-account                        |   Customer   |       -       |    -
POST   | auth/verify-email                      |   Customer   |       -       |    -
GET    | auth/verify-email/confirm/:token       |       -      |       -       |    -
POST   | auth/forget-password                   |       -      |       -       | email
POST   | auth/reset-password/:token             |       -      |       -       | password
PATCH  | auth/change-password                   |   Customer   |       -       | oldPassword, newPassword
________________________________________________________________________________________________________________
PATCH  | users/me                               |   Customer   |       -       | name, phone
DELETE | users/me                               |   Customer   |       -       |    -
GET    | users/addresses                        |   Customer   |       -       |    -
GET    | users/addresses/:id                    |   Customer   |       -       |    -
POST   | users/addresses                        |   Customer   |       -       | addressLine, city, postalCode
PATCH  | users/addresses/:id                    |   Customer   |       -       | addressLine, city, postalCode
PATCH  | users/addresses/:id/default            |   Customer   |       -       |    -
DELETE | users/addresses/:id                    |   Customer   |       -       |    -
